Year,Region,Crop,Area_hectares,Yield_t_per_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring,Country
2015,Belgium,Winter_Barley,44210,9.28,7.6649169921875,14.484012285868326,23.535861333211262,14.602030754089355,2.3525349299112954,3.9396206935246787,12.09999942779541,7.176149050394694,9.211816489696503,17.817930380503334,14.156603574752808,17.298029899597168,24.635236740112305,1.6026140451431274,10.544391592343647,11.435861905415852,379.06348407268524,1153.6137342453003,219.48095321655273,137.27787399291992,203.00561141967773,220.61597442626953,220.61597442626953,102.94230270385742,156.18460083007812,780.3804130554199,69.61958694458008,18845.214688016,41211.27826787719,135.7042007446289,616.22509765625,787.51318359375,281.71630859375,556.1209106445312,546.3008575439453,3.8792680561214024,31.0,13.0,3.0,0.0,1264.5785833184584,3617.1398511273305,14031.855079001978,0,0,0.0,0.0,Belgium
2016,Belgium,Winter_Barley,52270,6.34,7.1980264981587725,13.809751510620117,22.805423736572266,15.503896713256836,1.500405530134837,4.515929659207662,12.839642524719238,6.9874764283498125,9.162840584913889,17.822533130645752,15.231826066970825,17.623732089996338,23.89045524597168,1.1719309091567993,9.293821851412456,9.965781211853027,374.65565264225006,1154.0279817581177,230.32129287719727,222.58880615234375,240.49552154541016,144.83613777160645,144.83613777160645,185.4207305908203,100.1341781616211,838.2417583465576,11.758241653442383,49545.77662432566,57838.09588339884,141.60649871826172,556.7468948364258,708.3030700683594,312.5012893676758,470.6078338623047,451.6654357910156,2.945181953979206,32.0,15.0,4.0,0.0,2039.5457467602257,4286.239400515002,12623.754932831434,0,0,0.0,0.0,Belgium
2015,Belgium,Spring_Barley,4170,5.73,7.6649169921875,14.484012285868326,23.535861333211262,14.602030754089355,2.3525349299112954,3.9396206935246787,12.09999942779541,7.176149050394694,9.211816489696503,17.817930380503334,14.156603574752808,17.298029899597168,24.635236740112305,1.6026140451431274,10.544391592343647,11.435861905415852,379.06348407268524,1153.6137342453003,219.48095321655273,137.27787399291992,203.00561141967773,220.61597442626953,220.61597442626953,102.94230270385742,156.18460083007812,780.3804130554199,69.61958694458008,18845.214688016,41211.27826787719,135.7042007446289,616.22509765625,787.51318359375,281.71630859375,556.1209106445312,546.3008575439453,3.8792680561214024,31.0,13.0,3.0,0.0,1264.5785833184584,3617.1398511273305,14031.855079001978,0,0,0.0,0.0,Belgium
2016,Belgium,Spring_Barley,3160,4.52,7.1980264981587725,13.809751510620117,22.805423736572266,15.503896713256836,1.500405530134837,4.515929659207662,12.839642524719238,6.9874764283498125,9.162840584913889,17.822533130645752,15.231826066970825,17.623732089996338,23.89045524597168,1.1719309091567993,9.293821851412456,9.965781211853027,374.65565264225006,1154.0279817581177,230.32129287719727,222.58880615234375,240.49552154541016,144.83613777160645,144.83613777160645,185.4207305908203,100.1341781616211,838.2417583465576,11.758241653442383,49545.77662432566,57838.09588339884,141.60649871826172,556.7468948364258,708.3030700683594,312.5012893676758,470.6078338623047,451.6654357910156,2.945181953979206,32.0,15.0,4.0,0.0,2039.5457467602257,4286.239400515002,12623.754932831434,0,0,0.0,0.0,Belgium
2011,Belgium,Oats,3520,4.38,7.086325009663899,17.080327033996582,21.15815035502116,16.18036937713623,2.0363452235857644,5.909775495529175,11.936184883117676,7.684121767679851,11.495051264762878,16.54716761906942,15.380351305007935,16.15715479850769,21.92510986328125,1.8930513858795166,11.170551538467407,9.221965471903484,584.5546138286591,1039.2450857162476,306.6170883178711,54.162466049194336,265.5585479736328,93.43585586547852,93.43585586547852,153.43445587158203,183.7873992919922,719.7739582061768,130.22604179382324,2933.572728530129,70521.34240186424,116.89613151550293,696.8732757568359,684.1557312011719,318.6082954406738,476.7008361816406,551.2812347412109,2.5762896220877867,24.0,10.0,4.0,0.0,622.6003238614678,4394.24180599639,11320.839561732793,0,0,0.0,45.837533950805664,Belgium
2012,Belgium,Oats,2900,5.64,5.727356036504109,14.949482599894205,21.96608606974284,14.364114125569662,0.25783737500508624,5.166557153065999,11.957953453063965,6.31902535756429,10.058019876480103,16.962019761403404,14.564540147781372,16.123314380645752,24.373369216918945,3.1884729862213135,9.782925446828205,10.008132616678875,455.22178888320923,1076.5817785263062,265.70869064331055,162.78375434875488,261.9212951660156,206.0495834350586,206.0495834350586,223.81513214111328,159.13697814941406,896.4633235931396,46.46332359313965,26498.550679875774,68602.76486144308,136.72201347351074,573.7098083496094,722.8220672607422,294.853214263916,475.3038635253906,477.6134490966797,2.7596918639341266,33.0,5.0,3.0,0.0,1637.282236807831,4442.714184538331,12260.52218885517,0,0,0.0,0.0,Belgium
2013,Belgium,Oats,3760,5.47,5.020328124364217,11.573053359985352,22.975791295369465,14.577829043070475,0.013793925444285074,2.9523065090179443,12.014883359273275,7.129591941833496,7.262679934501648,17.49533732732137,13.094176054000854,17.29815173149109,25.152538299560547,-1.0195951461791992,8.620746850967407,10.96090793609619,276.8381345272064,1124.5803594589233,171.72185134887695,153.46778869628906,150.11792945861816,288.1907653808594,288.1907653808594,120.1170883178711,86.01932716369629,763.4983348846436,86.50166511535645,23552.36216732883,22535.39274494266,120.39406394958496,517.5704193115234,784.9840850830078,275.1304130554199,545.7269439697266,452.9060974121094,5.229116121664855,45.0,27.0,2.0,0.0,1114.5874295568774,2626.3638147575584,13733.56136510596,0,0,0.0,0.0,Belgium
2014,Belgium,Oats,3040,7.1,7.634177525838216,16.31612491607666,22.008939743041992,16.342151323954266,2.6282997131347656,5.501558939615886,11.785665512084961,8.580466588338217,10.908841927846273,16.897302627563477,14.36485731601715,17.32965064048767,23.928258895874023,2.6104588508605957,10.814565976460774,10.223274230957031,531.7957735061646,1070.757236480713,228.5803985595703,111.59048080444336,336.5840301513672,151.5742301940918,151.5742301940918,195.03781127929688,267.29747772216797,828.3291397094727,21.670860290527344,12452.435406166842,113288.80935293646,124.44649887084961,600.1225891113281,733.2296905517578,299.4674530029297,528.1001739501953,517.1606903076172,2.1784446820665044,13.0,7.0,0.0,0.0,1217.3229157480364,5687.362217072601,12389.603976767772,0,0,36.58403015136719,0.0,Belgium
2015,Belgium,Oats,3940,5.64,7.6649169921875,14.484012285868326,23.535861333211262,14.602030754089355,2.3525349299112954,3.9396206935246787,12.09999942779541,7.176149050394694,9.211816489696503,17.817930380503334,14.156603574752808,17.298029899597168,24.635236740112305,1.6026140451431274,10.544391592343647,11.435861905415852,379.06348407268524,1153.6137342453003,219.48095321655273,137.27787399291992,203.00561141967773,220.61597442626953,220.61597442626953,102.94230270385742,156.18460083007812,780.3804130554199,69.61958694458008,18845.214688016,41211.27826787719,135.7042007446289,616.22509765625,787.51318359375,281.71630859375,556.1209106445312,546.3008575439453,3.8792680561214024,31.0,13.0,3.0,0.0,1264.5785833184584,3617.1398511273305,14031.855079001978,0,0,0.0,0.0,Belgium
2016,Belgium,Oats,3670,4.47,7.1980264981587725,13.809751510620117,22.805423736572266,15.503896713256836,1.500405530134837,4.515929659207662,12.839642524719238,6.9874764283498125,9.162840584913889,17.822533130645752,15.231826066970825,17.623732089996338,23.89045524597168,1.1719309091567993,9.293821851412456,9.965781211853027,374.65565264225006,1154.0279817581177,230.32129287719727,222.58880615234375,240.49552154541016,144.83613777160645,144.83613777160645,185.4207305908203,100.1341781616211,838.2417583465576,11.758241653442383,49545.77662432566,57838.09588339884,141.60649871826172,556.7468948364258,708.3030700683594,312.5012893676758,470.6078338623047,451.6654357910156,2.945181953979206,32.0,15.0,4.0,0.0,2039.5457467602257,4286.239400515002,12623.754932831434,0,0,0.0,0.0,Belgium
2011,Belgium,Oilseed_Rape,12020,4.61,7.086325009663899,17.080327033996582,21.15815035502116,16.18036937713623,2.0363452235857644,5.909775495529175,11.936184883117676,7.684121767679851,11.495051264762878,16.54716761906942,15.380351305007935,16.15715479850769,21.92510986328125,1.8930513858795166,11.170551538467407,9.221965471903484,584.5546138286591,1039.2450857162476,306.6170883178711,54.162466049194336,265.5585479736328,93.43585586547852,93.43585586547852,153.43445587158203,183.7873992919922,719.7739582061768,130.22604179382324,2933.572728530129,70521.34240186424,116.89613151550293,696.8732757568359,684.1557312011719,318.6082954406738,476.7008361816406,551.2812347412109,2.5762896220877867,24.0,10.0,4.0,0.0,622.6003238614678,4394.24180599639,11320.839561732793,0,0,0.0,45.837533950805664,Belgium
2012,Belgium,Oilseed_Rape,12600,3.93,5.727356036504109,14.949482599894205,21.96608606974284,14.364114125569662,0.25783737500508624,5.166557153065999,11.957953453063965,6.31902535756429,10.058019876480103,16.962019761403404,14.564540147781372,16.123314380645752,24.373369216918945,3.1884729862213135,9.782925446828205,10.008132616678875,455.22178888320923,1076.5817785263062,265.70869064331055,162.78375434875488,261.9212951660156,206.0495834350586,206.0495834350586,223.81513214111328,159.13697814941406,896.4633235931396,46.46332359313965,26498.550679875774,68602.76486144308,136.72201347351074,573.7098083496094,722.8220672607422,294.853214263916,475.3038635253906,477.6134490966797,2.7596918639341266,33.0,5.0,3.0,0.0,1637.282236807831,4442.714184538331,12260.52218885517,0,0,0.0,0.0,Belgium
2013,Belgium,Oilseed_Rape,14260,4.27,5.020328124364217,11.573053359985352,22.975791295369465,14.577829043070475,0.013793925444285074,2.9523065090179443,12.014883359273275,7.129591941833496,7.262679934501648,17.49533732732137,13.094176054000854,17.29815173149109,25.152538299560547,-1.0195951461791992,8.620746850967407,10.96090793609619,276.8381345272064,1124.5803594589233,171.72185134887695,153.46778869628906,150.11792945861816,288.1907653808594,288.1907653808594,120.1170883178711,86.01932716369629,763.4983348846436,86.50166511535645,23552.36216732883,22535.39274494266,120.39406394958496,517.5704193115234,784.9840850830078,275.1304130554199,545.7269439697266,452.9060974121094,5.229116121664855,45.0,27.0,2.0,0.0,1114.5874295568774,2626.3638147575584,13733.56136510596,0,0,0.0,0.0,Belgium
2014,Belgium,Oilseed_Rape,12190,4.8,7.634177525838216,16.31612491607666,22.008939743041992,16.342151323954266,2.6282997131347656,5.501558939615886,11.785665512084961,8.580466588338217,10.908841927846273,16.897302627563477,14.36485731601715,17.32965064048767,23.928258895874023,2.6104588508605957,10.814565976460774,10.223274230957031,531.7957735061646,1070.757236480713,228.5803985595703,111.59048080444336,336.5840301513672,151.5742301940918,151.5742301940918,195.03781127929688,267.29747772216797,828.3291397094727,21.670860290527344,12452.435406166842,113288.80935293646,124.44649887084961,600.1225891113281,733.2296905517578,299.4674530029297,528.1001739501953,517.1606903076172,2.1784446820665044,13.0,7.0,0.0,0.0,1217.3229157480364,5687.362217072601,12389.603976767772,0,0,36.58403015136719,0.0,Belgium
2015,Belgium,Oilseed_Rape,11270,4.28,7.6649169921875,14.484012285868326,23.535861333211262,14.602030754089355,2.3525349299112954,3.9396206935246787,12.09999942779541,7.176149050394694,9.211816489696503,17.817930380503334,14.156603574752808,17.298029899597168,24.635236740112305,1.6026140451431274,10.544391592343647,11.435861905415852,379.06348407268524,1153.6137342453003,219.48095321655273,137.27787399291992,203.00561141967773,220.61597442626953,220.61597442626953,102.94230270385742,156.18460083007812,780.3804130554199,69.61958694458008,18845.214688016,41211.27826787719,135.7042007446289,616.22509765625,787.51318359375,281.71630859375,556.1209106445312,546.3008575439453,3.8792680561214024,31.0,13.0,3.0,0.0,1264.5785833184584,3617.1398511273305,14031.855079001978,0,0,0.0,0.0,Belgium
2016,Belgium,Oilseed_Rape,11450,3.44,7.1980264981587725,13.809751510620117,22.805423736572266,15.503896713256836,1.500405530134837,4.515929659207662,12.839642524719238,6.9874764283498125,9.162840584913889,17.822533130645752,15.231826066970825,17.623732089996338,23.89045524597168,1.1719309091567993,9.293821851412456,9.965781211853027,374.65565264225006,1154.0279817581177,230.32129287719727,222.58880615234375,240.49552154541016,144.83613777160645,144.83613777160645,185.4207305908203,100.1341781616211,838.2417583465576,11.758241653442383,49545.77662432566,57838.09588339884,141.60649871826172,556.7468948364258,708.3030700683594,312.5012893676758,470.6078338623047,451.6654357910156,2.945181953979206,32.0,15.0,4.0,0.0,2039.5457467602257,4286.239400515002,12623.754932831434,0,0,0.0,0.0,Belgium
