Year,Crop,Area_hectares,Yield_t_per_ha,Production_tonnes,Annual_Temp_C,Annual_Rainfall_mm,Annual_Humidity_Percent,Annual_Sunshine_hours,Annual_Frost_days,Total_Nitrogen_kg_ha,Total_Phosphate_kg_ha,Total_Potash_kg_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring,Nitrogen_kg_ha,Phosphorus_kg_ha
2021,Barley,1149746,6.1,6961273,9.28,1105.9,81.4,1386.2,62.9,130,22,28,6.566666666666666,11.366666666666667,19.566666666666663,14.166666666666666,1.1333333333333333,2.8000000000000003,11.033333333333331,7.5,7.083333333333334,15.3,16.05,19.9,21.1,0.5,8.566666666666666,8.533333333333333,637.5,1377.0,360.0,228.5,186.0,331.4,107.7,119.3,141.3,1105.9,74.09999999999991,52212.25,34596.0,142.5,487.4,498.5,257.6,371.4,342.4,2.665775401069519,36.400000000000006,21.7,4.8,16.6,1618.5416666666667,2845.8,9753.983333333334,1,1,0,0,63.353658536585364,4.923841463414634
2022,Barley,1115836,6.6,7385092,10.03,1091.7,78.8,1535.3,44.0,118,17,24,7.4,13.2,20.533333333333335,14.4,1.4,4.533333333333333,10.9,7.733333333333334,8.866666666666667,15.716666666666669,17.25,19.950000000000003,21.7,2.3,8.666666666666668,9.633333333333336,798.0,1414.5,333.5,177.1,161.6,419.7,100.1,110.0,99.8,1091.9,88.09999999999991,31364.409999999996,26114.56,185.5,487.1,583.7,279.09999999999997,375.2000000000001,351.0,3.589790897908979,29.9,12.3,1.7000000000000002,5.8,1570.2866666666666,2539.8133333333335,11985.30666666667,1,0,0,1,63.353658536585364,4.923841463414634
2023,Barley,1136523,6.1,6963393,9.97,1323.3,81.5,1430.1,45.1,125,17,23,8.200000000000001,12.4,19.799999999999997,14.233333333333334,2.466666666666667,4.366666666666666,11.033333333333331,7.333333333333333,8.383333333333333,15.416666666666664,18.7,20.049999999999997,21.2,2.4,8.033333333333335,8.766666666666664,754.5,1387.5,369.2,247.5,286.20000000000005,420.4,207.9,196.6,231.5,1323.3000000000002,143.30000000000018,61256.25,81910.44000000003,159.9,445.7000000000001,535.5,288.9,384.4,448.8,1.8645543175487465,25.6,12.3,7.1,3.9,2074.875,4412.25,10602.899999999998,1,0,0,0,63.353658536585364,4.923841463414634
2024,Barley,1193919,5.9,7090832,9.79,1273.0,82.3,1280.7,36.1,121,17,22,8.133333333333333,13.1,18.6,13.266666666666666,2.766666666666667,5.7,10.166666666666666,6.6000000000000005,9.4,14.383333333333333,17.25,18.15,19.5,3.5,7.4,8.433333333333332,846.0,1294.5,411.8,300.8,244.5,315.9,217.5,140.0,189.3,1273.0,93.0,90480.64,59780.25,141.3,381.9,494.6,262.9,333.3,338.5,2.014663951120163,20.5,7.0,8.6,2.7,2827.5200000000004,3516.725,9199.56,0,0,0,0,63.353658536585364,4.923841463414634
2004,Oats,107846,5.8,625937,9.44,1207.3,81.37,1356.8,46.6,152,41,55,7.5,12.433333333333332,18.933333333333337,13.1,1.6666666666666667,4.433333333333334,10.766666666666666,6.733333333333333,8.433333333333334,14.85,16.95,18.4,20.0,2.1,7.999999999999998,8.166666666666668,759.0,1336.5,335.1,213.9,314.7,343.7,162.89999999999998,155.0,229.9,1207.4,27.40000000000009,45753.20999999999,99036.09,174.4,430.1,483.7999999999999,268.6,321.4,365.4,1.5324675324675323,32.7,8.700000000000001,5.1,1.5,1803.89,4673.295,9159.946666666669,0,0,0,0,65.40691860465117,7.054883720930232
2005,Oats,90366,5.8,528500,9.41,1079.6,80.84,1382.2,53.6,150,40,54,7.2,11.966666666666669,19.066666666666663,13.8,1.5666666666666669,4.266666666666667,10.466666666666669,6.8999999999999995,8.116666666666667,14.766666666666666,16.45,18.95,19.4,3.2,7.7,8.6,730.5,1329.0,277.20000000000005,236.3,216.6,349.5,163.60000000000002,131.1,144.9,1079.6,100.40000000000008,55837.69,46915.56,162.1,430.5,510.2000000000001,279.5,328.1,368.6,2.344669117647059,29.0,13.1,11.4,4.7,1917.9683333333337,3198.4599999999996,9727.813333333334,0,0,0,0,62.0459649122807,6.611169590643275
2006,Oats,121497,6.0,727763,9.7,1171.6,80.25,1472.4,51.7,147,35,49,6.933333333333334,11.166666666666666,20.5,14.866666666666667,1.6,3.5666666666666664,11.033333333333331,7.866666666666667,7.366666666666666,15.766666666666666,17.2,21.35,23.3,0.8,7.6,9.466666666666669,663.0,1419.0,296.8,290.2,187.1,397.6,177.6,95.1,145.1,1171.7,8.299999999999955,84216.04,35006.409999999996,154.6,426.0,592.0,299.79999999999995,456.5,382.7,3.147262094630516,28.7,19.2,3.8,5.6,2137.8066666666664,2949.943333333333,12136.0,1,1,0,0,59.00017647058824,6.033823529411765
2007,Oats,129382,5.5,711696,9.56,1192.5,81.5,1435.8,39.2,148,34,47,8.066666666666668,13.366666666666664,18.066666666666663,13.433333333333332,2.1999999999999997,4.766666666666667,10.166666666666666,6.366666666666666,9.066666666666666,14.116666666666667,16.25,17.85,18.5,2.5,8.599999999999998,7.9,816.0,1270.5,376.3,227.9,356.5,231.9,113.8,270.7,220.4,1192.6,12.600000000000136,51938.41,127092.25,162.10000000000002,519.1,470.1,284.5,300.6,314.7,1.314965034965035,26.0,7.1,6.2,1.9,2066.2933333333335,5032.591666666667,8493.14,0,0,1,0,59.295,5.751411764705883
2008,Oats,135022,5.8,783574,9.02,1292.9,81.55,1375.4,57.9,144,31,43,7.666666666666667,12.133333333333336,18.4,12.4,1.1666666666666667,4.066666666666666,10.533333333333331,5.8,8.100000000000001,14.466666666666669,17.05,18.35,19.4,1.7,8.066666666666668,7.866666666666669,729.0,1302.0,358.6,246.5,321.8,366.0,198.8,186.8,243.1,1292.9,112.90000000000008,60762.25,103555.24,193.0,469.0,449.0,264.40000000000003,344.9,379.1,1.3909541511771994,33.5,15.3,9.1,6.9,1996.6500000000003,4655.373333333334,8261.6,0,1,0,0,58.88229411764706,5.520352941176471
2009,Oats,129106,5.8,744417,9.14,1207.9,82.15,1456.2,56.8,139,23,33,5.733333333333334,12.833333333333334,19.0,13.6,0.0,4.366666666666667,10.5,7.0,8.600000000000001,14.75,16.9,18.85,19.3,2.2,8.466666666666667,8.5,774.0,1327.5,279.5,220.6,321.9,386.0,138.9,207.4,260.0,1208.0,28.0,48664.36000000001,103619.61,152.6,506.4,526.2,270.9,371.9,412.9,1.6296066893775163,45.099999999999994,8.700000000000001,3.0,1.9,1897.1600000000003,4748.025,9997.8,0,0,0,0,56.09473372781065,3.331775147928994
2010,Oats,124459,5.5,685310,7.94,945.9,81.25,1444.7,93.4,145,30,38,3.6,12.0,18.96666666666667,12.233333333333334,-2.3000000000000003,3.1999999999999997,10.366666666666664,5.466666666666666,7.6,14.666666666666668,16.75,19.35,19.6,1.3,8.8,8.600000000000003,684.0,1320.0,201.4,165.1,242.9,336.5,126.2,145.4,204.5,945.9,234.1,27258.01,59000.41,160.9,496.1,493.7000000000001,294.0,347.1,407.5,2.0241902419024194,60.6,18.3,14.4,6.9,1254.76,3562.5333333333338,9363.843333333336,0,1,0,1,60.14301775147929,4.752307692307692
2011,Oats,108604,5.6,613369,9.61,1162.7,81.02,1397.9,41.3,146,29,39,7.2,13.566666666666668,17.966666666666665,14.533333333333331,1.6666666666666667,4.766666666666667,9.366666666666664,7.9,9.166666666666668,13.666666666666664,16.2,17.95,18.7,1.8,8.8,8.6,825.0,1230.0,382.7,185.9,265.8,328.4,85.2,160.4,181.1,1162.8,17.200000000000045,34558.810000000005,70649.64,138.9,513.6,470.3,275.1,343.8,364.9,1.762743628185907,29.2,10.1,1.9,1.3,1704.0833333333337,3632.599999999999,8449.723333333333,0,1,0,0,60.83821428571429,4.971547619047619
2012,Oats,121924,5.1,627045,8.74,1329.6,82.8,1330.7,54.9,144,28,37,7.133333333333333,12.433333333333332,17.73333333333333,12.066666666666668,1.3333333333333333,3.966666666666667,10.1,5.2,8.2,13.916666666666664,15.45,16.9,19.4,2.5,8.466666666666665,7.633333333333331,738.0,1252.5,347.9,230.49999999999997,378.8,372.5,164.89999999999998,267.5,229.8,1329.6999999999998,149.69999999999982,53130.249999999985,143489.44,166.0,473.9,400.8,289.9,250.3,312.2,1.0552922590837284,33.2,11.5,9.8,8.4,1890.0999999999997,5271.633333333332,7107.5199999999995,0,0,1,0,59.53547619047619,4.883928571428571
2013,Oats,176541,5.5,963563,8.74,1084.0,80.43,1410.9,71.1,137,28,40,6.666666666666667,9.766666666666667,19.733333333333334,13.1,1.1666666666666667,2.2333333333333334,10.6,6.500000000000001,6.0,15.166666666666668,15.5,19.7,22.2,-0.7,7.533333333333334,9.133333333333336,540.0,1365.0,354.90000000000003,219.1,185.9,324.0,127.3,113.7,137.4,1083.9,96.09999999999992,48004.81000000001,34558.810000000005,152.5,423.2,574.4,260.7,416.8,345.6,3.073301230604601,33.6,29.8,7.800000000000001,10.6,1314.6,2819.4833333333336,11334.826666666666,1,1,0,0,59.82035928143713,5.071377245508982
2014,Oats,137233,6.0,819985,9.88,1291.8,81.97,1416.5,31.7,146,29,39,7.533333333333334,12.966666666666669,19.266666666666666,14.3,2.033333333333333,5.133333333333333,10.4,7.433333333333334,9.05,14.833333333333332,16.9,19.9,21.2,2.8,7.833333333333334,8.866666666666665,814.5,1335.0,485.6,246.5,256.7,303.0,147.2,118.7,202.0,1291.8,111.79999999999995,60762.25,65894.89,174.2,418.9,568.0,255.2,398.5,325.4,2.204113310050446,21.7,7.199999999999999,2.8,1.9,2230.8250000000003,3807.7166666666662,10943.466666666664,1,0,0,0,63.45796407185629,5.283113772455089
2015,Oats,131127,6.1,798573,9.18,1264.2,80.23,1445.3,43.9,146,29,38,7.966666666666666,11.833333333333334,18.233333333333334,13.6,2.1666666666666665,3.5333333333333337,9.633333333333333,6.3999999999999995,7.683333333333334,13.933333333333334,15.4,17.950000000000003,18.8,1.9,8.3,8.600000000000001,691.5,1254.0,449.7999999999999,250.1,268.4,295.8,140.4,163.6,212.4,1264.1,84.09999999999991,62550.01000000001,72038.55999999998,163.1,506.9,497.6,277.8,349.5,362.5,1.8470675575352635,27.3,12.9,3.6,5.4,1921.601666666667,3739.7066666666665,9072.906666666668,0,1,0,0,63.16542168674699,5.153915662650602
2016,Oats,140896,5.8,815802,9.29,1096.0,81.97,1417.4,54.0,142,29,39,7.733333333333333,11.8,18.933333333333337,13.266666666666667,1.7666666666666666,3.6,10.866666666666667,6.266666666666667,7.699999999999999,14.9,16.85,18.55,19.7,1.6,8.2,8.066666666666666,693.0,1341.0,365.7000000000001,222.7,259.7,248.2,161.2,174.5,163.7,1096.3,83.70000000000005,49595.28999999999,67444.09,162.2,485.0,472.1,298.2,291.29999999999995,342.79999999999995,1.8108937476026084,29.4,15.3,9.2,7.199999999999999,1714.7899999999995,3869.53,8938.426666666666,0,1,0,0,61.86746987951807,5.180060240963855
2017,Oats,161050,5.4,874778,9.53,1118.4,81.87,1369.8,48.3,138,30,37,7.2,13.300000000000002,18.76666666666667,13.066666666666668,1.6333333333333335,4.933333333333334,10.666666666666666,6.6000000000000005,9.116666666666667,14.716666666666669,17.6,18.85,19.3,3.6,8.366666666666669,8.100000000000003,820.5,1324.5,290.20000000000005,188.2,313.90000000000003,326.20000000000005,131.0,211.6,203.5,1118.5,61.5,35419.24,98533.21000000002,154.3,484.9,478.7999999999999,251.8,323.7,363.1,1.5204826929183866,33.2,7.8,7.5,3.5,1715.756666666667,4619.561666666667,8985.48,0,0,0,0,63.09090909090909,5.158545454545455
2018,Oats,171171,5.0,850301,9.45,1053.1,80.13,1560.7,54.0,142,27,35,6.800000000000001,12.033333333333331,20.6,13.266666666666666,1.2999999999999998,4.133333333333334,10.933333333333335,6.233333333333333,8.083333333333332,15.766666666666666,18.549999999999997,21.25,22.6,0.7,7.899999999999998,9.666666666666664,727.5,1419.0,318.6,235.3,171.8,327.29999999999995,187.6,88.80000000000001,137.2,1053.0,127.0,55366.09,29515.240000000005,183.9,455.6,615.5,305.6,468.4,475.0,3.5619212962962963,31.9,15.9,6.2,3.2,1902.0083333333332,2708.713333333333,12679.3,1,1,0,0,62.60606060606061,4.973333333333334
2019,Oats,181518,5.9,1075588,9.39,1232.0,81.19,1454.4,48.1,137,26,34,8.033333333333333,12.533333333333331,19.3,12.4,1.7333333333333334,4.266666666666667,11.0,5.833333333333333,8.4,15.15,15.95,19.0,20.7,3.5,8.266666666666666,8.3,756.0,1363.5,275.4,241.0,330.7,384.9,177.4,198.0,221.7,1232.0,52.0,58081.0,109362.49,195.9,470.7999999999999,508.1,279.40000000000003,333.0,346.6,1.5318058486584265,28.799999999999997,9.7,9.6,6.2,2024.4,5010.105,9806.33,0,0,0,0,63.353658536585364,4.923841463414634
2020,Oats,210009,4.9,1030989,9.62,1333.5,79.94,1498.3,37.7,121,24,29,7.7,13.4,18.833333333333332,13.4,2.3333333333333335,4.0,10.7,6.6000000000000005,8.7,14.766666666666666,17.5,18.3,19.9,1.9,9.4,8.133333333333331,783.0,1329.0,501.8,141.39999999999998,325.5,364.9,108.6,203.3,218.0,1333.6,153.5999999999999,19993.959999999992,105950.25,156.0,625.9,451.1,265.3,305.7,428.1,1.381623277182236,20.9,13.1,3.5,5.3,1230.1799999999996,4806.549999999999,8495.716666666667,0,1,0,1,63.353658536585364,4.923841463414634
2021,Oats,199584,5.6,1123064,9.28,1105.9,81.4,1386.2,62.9,130,22,28,6.566666666666666,11.366666666666667,19.566666666666663,14.166666666666666,1.1333333333333333,2.8000000000000003,11.033333333333331,7.5,7.083333333333334,15.3,16.05,19.9,21.1,0.5,8.566666666666666,8.533333333333333,637.5,1377.0,360.0,228.5,186.0,331.4,107.7,119.3,141.3,1105.9,74.09999999999991,52212.25,34596.0,142.5,487.4,498.5,257.6,371.4,342.4,2.665775401069519,36.400000000000006,21.7,4.8,16.6,1618.5416666666667,2845.8,9753.983333333334,1,1,0,0,63.353658536585364,4.923841463414634
2022,Oats,175535,5.7,1007098,10.03,1091.7,78.8,1535.3,44.0,118,17,24,7.4,13.2,20.533333333333335,14.4,1.4,4.533333333333333,10.9,7.733333333333334,8.866666666666667,15.716666666666669,17.25,19.950000000000003,21.7,2.3,8.666666666666668,9.633333333333336,798.0,1414.5,333.5,177.1,161.6,419.7,100.1,110.0,99.8,1091.9,88.09999999999991,31364.409999999996,26114.56,185.5,487.1,583.7,279.09999999999997,375.2000000000001,351.0,3.589790897908979,29.9,12.3,1.7000000000000002,5.8,1570.2866666666666,2539.8133333333335,11985.30666666667,1,0,0,1,63.353658536585364,4.923841463414634
2023,Oats,166539,5.0,829988,9.97,1323.3,81.5,1430.1,45.1,125,17,23,8.200000000000001,12.4,19.799999999999997,14.233333333333334,2.466666666666667,4.366666666666666,11.033333333333331,7.333333333333333,8.383333333333333,15.416666666666664,18.7,20.049999999999997,21.2,2.4,8.033333333333335,8.766666666666664,754.5,1387.5,369.2,247.5,286.20000000000005,420.4,207.9,196.6,231.5,1323.3000000000002,143.30000000000018,61256.25,81910.44000000003,159.9,445.7000000000001,535.5,288.9,384.4,448.8,1.8645543175487465,25.6,12.3,7.1,3.9,2074.875,4412.25,10602.899999999998,1,0,0,0,63.353658536585364,4.923841463414634
2024,Oats,182046,5.4,985510,9.79,1273.0,82.3,1280.7,36.1,121,17,22,8.133333333333333,13.1,18.6,13.266666666666666,2.766666666666667,5.7,10.166666666666666,6.6000000000000005,9.4,14.383333333333333,17.25,18.15,19.5,3.5,7.4,8.433333333333332,846.0,1294.5,411.8,300.8,244.5,315.9,217.5,140.0,189.3,1273.0,93.0,90480.64,59780.25,141.3,381.9,494.6,262.9,333.3,338.5,2.014663951120163,20.5,7.0,8.6,2.7,2827.5200000000004,3516.725,9199.56,0,0,0,0,63.353658536585364,4.923841463414634
2004,Oilseed_Rape,553521,2.9,1606834,9.44,1207.3,81.37,1356.8,46.6,152,41,55,7.5,12.433333333333332,18.933333333333337,13.1,1.6666666666666667,4.433333333333334,10.766666666666666,6.733333333333333,8.433333333333334,14.85,16.95,18.4,20.0,2.1,7.999999999999998,8.166666666666668,759.0,1336.5,335.1,213.9,314.7,343.7,162.89999999999998,155.0,229.9,1207.4,27.40000000000009,45753.20999999999,99036.09,174.4,430.1,483.7999999999999,268.6,321.4,365.4,1.5324675324675323,32.7,8.700000000000001,5.1,1.5,1803.89,4673.295,9159.946666666669,0,0,0,0,65.40691860465117,7.054883720930232
2005,Oilseed_Rape,594219,3.2,1897723,9.41,1079.6,80.84,1382.2,53.6,150,40,54,7.2,11.966666666666669,19.066666666666663,13.8,1.5666666666666669,4.266666666666667,10.466666666666669,6.8999999999999995,8.116666666666667,14.766666666666666,16.45,18.95,19.4,3.2,7.7,8.6,730.5,1329.0,277.20000000000005,236.3,216.6,349.5,163.60000000000002,131.1,144.9,1079.6,100.40000000000008,55837.69,46915.56,162.1,430.5,510.2000000000001,279.5,328.1,368.6,2.344669117647059,29.0,13.1,11.4,4.7,1917.9683333333337,3198.4599999999996,9727.813333333334,0,0,0,0,62.0459649122807,6.611169590643275
2006,Oilseed_Rape,575205,3.3,1890093,9.7,1171.6,80.25,1472.4,51.7,147,35,49,6.933333333333334,11.166666666666666,20.5,14.866666666666667,1.6,3.5666666666666664,11.033333333333331,7.866666666666667,7.366666666666666,15.766666666666666,17.2,21.35,23.3,0.8,7.6,9.466666666666669,663.0,1419.0,296.8,290.2,187.1,397.6,177.6,95.1,145.1,1171.7,8.299999999999955,84216.04,35006.409999999996,154.6,426.0,592.0,299.79999999999995,456.5,382.7,3.147262094630516,28.7,19.2,3.8,5.6,2137.8066666666664,2949.943333333333,12136.0,1,1,0,0,59.00017647058824,6.033823529411765
2007,Oilseed_Rape,681410,3.1,2108121,9.56,1192.5,81.5,1435.8,39.2,148,34,47,8.066666666666668,13.366666666666664,18.066666666666663,13.433333333333332,2.1999999999999997,4.766666666666667,10.166666666666666,6.366666666666666,9.066666666666666,14.116666666666667,16.25,17.85,18.5,2.5,8.599999999999998,7.9,816.0,1270.5,376.3,227.9,356.5,231.9,113.8,270.7,220.4,1192.6,12.600000000000136,51938.41,127092.25,162.10000000000002,519.1,470.1,284.5,300.6,314.7,1.314965034965035,26.0,7.1,6.2,1.9,2066.2933333333335,5032.591666666667,8493.14,0,0,1,0,59.295,5.751411764705883
2008,Oilseed_Rape,598154,3.3,1973028,9.02,1292.9,81.55,1375.4,57.9,144,31,43,7.666666666666667,12.133333333333336,18.4,12.4,1.1666666666666667,4.066666666666666,10.533333333333331,5.8,8.100000000000001,14.466666666666669,17.05,18.35,19.4,1.7,8.066666666666668,7.866666666666669,729.0,1302.0,358.6,246.5,321.8,366.0,198.8,186.8,243.1,1292.9,112.90000000000008,60762.25,103555.24,193.0,469.0,449.0,264.40000000000003,344.9,379.1,1.3909541511771994,33.5,15.3,9.1,6.9,1996.6500000000003,4655.373333333334,8261.6,0,1,0,0,58.88229411764706,5.520352941176471
2009,Oilseed_Rape,569921,3.4,1912196,9.14,1207.9,82.15,1456.2,56.8,139,23,33,5.733333333333334,12.833333333333334,19.0,13.6,0.0,4.366666666666667,10.5,7.0,8.600000000000001,14.75,16.9,18.85,19.3,2.2,8.466666666666667,8.5,774.0,1327.5,279.5,220.6,321.9,386.0,138.9,207.4,260.0,1208.0,28.0,48664.36000000001,103619.61,152.6,506.4,526.2,270.9,371.9,412.9,1.6296066893775163,45.099999999999994,8.700000000000001,3.0,1.9,1897.1600000000003,4748.025,9997.8,0,0,0,0,56.09473372781065,3.331775147928994
2010,Oilseed_Rape,641562,3.5,2230148,7.94,945.9,81.25,1444.7,93.4,145,30,38,3.6,12.0,18.96666666666667,12.233333333333334,-2.3000000000000003,3.1999999999999997,10.366666666666664,5.466666666666666,7.6,14.666666666666668,16.75,19.35,19.6,1.3,8.8,8.600000000000003,684.0,1320.0,201.4,165.1,242.9,336.5,126.2,145.4,204.5,945.9,234.1,27258.01,59000.41,160.9,496.1,493.7000000000001,294.0,347.1,407.5,2.0241902419024194,60.6,18.3,14.4,6.9,1254.76,3562.5333333333338,9363.843333333336,0,1,0,1,60.14301775147929,4.752307692307692
2011,Oilseed_Rape,704559,3.9,2758302,9.61,1162.7,81.02,1397.9,41.3,146,29,39,7.2,13.566666666666668,17.966666666666665,14.533333333333331,1.6666666666666667,4.766666666666667,9.366666666666664,7.9,9.166666666666668,13.666666666666664,16.2,17.95,18.7,1.8,8.8,8.6,825.0,1230.0,382.7,185.9,265.8,328.4,85.2,160.4,181.1,1162.8,17.200000000000045,34558.810000000005,70649.64,138.9,513.6,470.3,275.1,343.8,364.9,1.762743628185907,29.2,10.1,1.9,1.3,1704.0833333333337,3632.599999999999,8449.723333333333,0,1,0,0,60.83821428571429,4.971547619047619
2012,Oilseed_Rape,755717,3.4,2556643,8.74,1329.6,82.8,1330.7,54.9,144,28,37,7.133333333333333,12.433333333333332,17.73333333333333,12.066666666666668,1.3333333333333333,3.966666666666667,10.1,5.2,8.2,13.916666666666664,15.45,16.9,19.4,2.5,8.466666666666665,7.633333333333331,738.0,1252.5,347.9,230.49999999999997,378.8,372.5,164.89999999999998,267.5,229.8,1329.6999999999998,149.69999999999982,53130.249999999985,143489.44,166.0,473.9,400.8,289.9,250.3,312.2,1.0552922590837284,33.2,11.5,9.8,8.4,1890.0999999999997,5271.633333333332,7107.5199999999995,0,0,1,0,59.53547619047619,4.883928571428571
2013,Oilseed_Rape,715218,3.0,2128142,8.74,1084.0,80.43,1410.9,71.1,137,28,40,6.666666666666667,9.766666666666667,19.733333333333334,13.1,1.1666666666666667,2.2333333333333334,10.6,6.500000000000001,6.0,15.166666666666668,15.5,19.7,22.2,-0.7,7.533333333333334,9.133333333333336,540.0,1365.0,354.90000000000003,219.1,185.9,324.0,127.3,113.7,137.4,1083.9,96.09999999999992,48004.81000000001,34558.810000000005,152.5,423.2,574.4,260.7,416.8,345.6,3.073301230604601,33.6,29.8,7.800000000000001,10.6,1314.6,2819.4833333333336,11334.826666666666,1,1,0,0,59.82035928143713,5.071377245508982
2014,Oilseed_Rape,674580,3.6,2459576,9.88,1291.8,81.97,1416.5,31.7,146,29,39,7.533333333333334,12.966666666666669,19.266666666666666,14.3,2.033333333333333,5.133333333333333,10.4,7.433333333333334,9.05,14.833333333333332,16.9,19.9,21.2,2.8,7.833333333333334,8.866666666666665,814.5,1335.0,485.6,246.5,256.7,303.0,147.2,118.7,202.0,1291.8,111.79999999999995,60762.25,65894.89,174.2,418.9,568.0,255.2,398.5,325.4,2.204113310050446,21.7,7.199999999999999,2.8,1.9,2230.8250000000003,3807.7166666666662,10943.466666666664,1,0,0,0,63.45796407185629,5.283113772455089
2015,Oilseed_Rape,652164,3.9,2542454,9.18,1264.2,80.23,1445.3,43.9,146,29,38,7.966666666666666,11.833333333333334,18.233333333333334,13.6,2.1666666666666665,3.5333333333333337,9.633333333333333,6.3999999999999995,7.683333333333334,13.933333333333334,15.4,17.950000000000003,18.8,1.9,8.3,8.600000000000001,691.5,1254.0,449.7999999999999,250.1,268.4,295.8,140.4,163.6,212.4,1264.1,84.09999999999991,62550.01000000001,72038.55999999998,163.1,506.9,497.6,277.8,349.5,362.5,1.8470675575352635,27.3,12.9,3.6,5.4,1921.601666666667,3739.7066666666665,9072.906666666668,0,1,0,0,63.16542168674699,5.153915662650602
2016,Oilseed_Rape,579170,3.1,1774712,9.29,1096.0,81.97,1417.4,54.0,142,29,39,7.733333333333333,11.8,18.933333333333337,13.266666666666667,1.7666666666666666,3.6,10.866666666666667,6.266666666666667,7.699999999999999,14.9,16.85,18.55,19.7,1.6,8.2,8.066666666666666,693.0,1341.0,365.7000000000001,222.7,259.7,248.2,161.2,174.5,163.7,1096.3,83.70000000000005,49595.28999999999,67444.09,162.2,485.0,472.1,298.2,291.29999999999995,342.79999999999995,1.8108937476026084,29.4,15.3,9.2,7.199999999999999,1714.7899999999995,3869.53,8938.426666666666,0,1,0,0,61.86746987951807,5.180060240963855
2017,Oilseed_Rape,562399,3.9,2166644,9.53,1118.4,81.87,1369.8,48.3,138,30,37,7.2,13.300000000000002,18.76666666666667,13.066666666666668,1.6333333333333335,4.933333333333334,10.666666666666666,6.6000000000000005,9.116666666666667,14.716666666666669,17.6,18.85,19.3,3.6,8.366666666666669,8.100000000000003,820.5,1324.5,290.20000000000005,188.2,313.90000000000003,326.20000000000005,131.0,211.6,203.5,1118.5,61.5,35419.24,98533.21000000002,154.3,484.9,478.7999999999999,251.8,323.7,363.1,1.5204826929183866,33.2,7.8,7.5,3.5,1715.756666666667,4619.561666666667,8985.48,0,0,0,0,63.09090909090909,5.158545454545455
2018,Oilseed_Rape,583271,3.4,2012144,9.45,1053.1,80.13,1560.7,54.0,142,27,35,6.800000000000001,12.033333333333331,20.6,13.266666666666666,1.2999999999999998,4.133333333333334,10.933333333333335,6.233333333333333,8.083333333333332,15.766666666666666,18.549999999999997,21.25,22.6,0.7,7.899999999999998,9.666666666666664,727.5,1419.0,318.6,235.3,171.8,327.29999999999995,187.6,88.80000000000001,137.2,1053.0,127.0,55366.09,29515.240000000005,183.9,455.6,615.5,305.6,468.4,475.0,3.5619212962962963,31.9,15.9,6.2,3.2,1902.0083333333332,2708.713333333333,12679.3,1,1,0,0,62.60606060606061,4.973333333333334
2019,Oilseed_Rape,529698,3.3,1751828,9.39,1232.0,81.19,1454.4,48.1,137,26,34,8.033333333333333,12.533333333333331,19.3,12.4,1.7333333333333334,4.266666666666667,11.0,5.833333333333333,8.4,15.15,15.95,19.0,20.7,3.5,8.266666666666666,8.3,756.0,1363.5,275.4,241.0,330.7,384.9,177.4,198.0,221.7,1232.0,52.0,58081.0,109362.49,195.9,470.7999999999999,508.1,279.40000000000003,333.0,346.6,1.5318058486584265,28.799999999999997,9.7,9.6,6.2,2024.4,5010.105,9806.33,0,0,0,0,63.353658536585364,4.923841463414634
2020,Oilseed_Rape,379651,2.7,1037719,9.62,1333.5,79.94,1498.3,37.7,121,24,29,7.7,13.4,18.833333333333332,13.4,2.3333333333333335,4.0,10.7,6.6000000000000005,8.7,14.766666666666666,17.5,18.3,19.9,1.9,9.4,8.133333333333331,783.0,1329.0,501.8,141.39999999999998,325.5,364.9,108.6,203.3,218.0,1333.6,153.5999999999999,19993.959999999992,105950.25,156.0,625.9,451.1,265.3,305.7,428.1,1.381623277182236,20.9,13.1,3.5,5.3,1230.1799999999996,4806.549999999999,8495.716666666667,0,1,0,1,63.353658536585364,4.923841463414634
